FREQ, UX_2, , UX_3, , UX_4,,,,
, REAL, IMAGINARY, REAL, IMAGINARY, REAL, IMAGINARY,,,
1.00E-03,-24521.3123,-2.66E-10,-24521.3465,1.01E-10,-24521.3208,-1.74E-10,-1.74E-10,0.999998605,0.999999653
2.00E-03,-6130.30964,-5.31E-10,-6130.34383,2.04E-10,-6130.31819,-3.47E-10,-3.47E-10,0.999994423,0.999998605
3.00E-03,-2724.56839,-7.97E-10,-2724.60258,3.05E-10,-2724.57694,-5.21E-10,-5.21E-10,0.999987451,0.999996862
4.00E-03,-1532.55895,-1.06E-09,-1532.59314,4.07E-10,-1532.5675,-6.95E-10,-6.95E-10,0.999977691,0.999994421
5.00E-03,-980.828869,-1.33E-09,-980.863057,5.08E-10,-980.837416,-8.69E-10,-8.69E-10,0.999965145,0.999991286
6.00E-03,-681.123638,-1.59E-09,-681.157827,6.10E-10,-681.132185,-1.04E-09,-1.04E-09,0.999949808,0.999987452
7.00E-03,-500.410837,-1.86E-09,-500.445026,7.12E-10,-500.419384,-1.22E-09,-1.22E-09,0.999931683,0.99998292
8.00E-03,-383.121279,-2.12E-09,-383.155467,8.13E-10,-383.129826,-1.39E-09,-1.39E-09,0.999910773,0.999977692
9.00E-03,-302.707944,-2.39E-09,-302.742132,9.15E-10,-302.716491,-1.56E-09,-1.56E-09,0.999887072,0.999971766
1.00E-02,-245.188758,-2.66E-09,-245.222947,1.02E-09,-245.197305,-1.74E-09,-1.74E-09,0.99986058,0.999965142
1.10E-02,-202.631066,-2.92E-09,-202.665255,1.12E-09,-202.639613,-1.91E-09,-1.91E-09,0.999831303,0.999957822
1.20E-02,-170.262451,-3.19E-09,-170.296639,1.22E-09,-170.270998,-2.08E-09,-2.08E-09,0.999799244,0.999949804
1.30E-02,-145.072057,-3.45E-09,-145.106246,1.32E-09,-145.080604,-2.26E-09,-2.26E-09,0.999764386,0.999941088
1.40E-02,-125.08425,-3.72E-09,-125.118439,1.42E-09,-125.092797,-2.43E-09,-2.43E-09,0.999726747,0.999931675
1.50E-02,-108.959108,-3.98E-09,-108.993297,1.53E-09,-108.967655,-2.61E-09,-2.61E-09,0.99968632,0.999921564
1.60E-02,-95.7618604,-4.25E-09,-95.79605,1.63E-09,-95.7704074,-2.78E-09,-2.78E-09,0.9996431,0.999910755
1.70E-02,-84.8243046,-4.51E-09,-84.8584943,1.73E-09,-84.8328516,-2.95E-09,-2.95E-09,0.999597097,0.999899249
1.80E-02,-75.6585264,-4.78E-09,-75.6927164,1.83E-09,-75.6670734,-3.13E-09,-3.13E-09,0.999548305,0.999887045
1.90E-02,-67.9015287,-5.05E-09,-67.9357189,1.93E-09,-67.9100757,-3.30E-09,-3.30E-09,0.999496727,0.999874142
2.00E-02,-61.2787298,-5.31E-09,-61.3129202,2.03E-09,-61.2872768,-3.48E-09,-3.48E-09,0.999442362,0.999860542
2.10E-02,-55.5793259,-5.58E-09,-55.6135166,2.14E-09,-55.5878729,-3.65E-09,-3.65E-09,0.999385209,0.999846243
2.20E-02,-50.6393064,-5.84E-09,-50.6734974,2.24E-09,-50.6478534,-3.82E-09,-3.82E-09,0.999325269,0.999831247
2.30E-02,-46.3295211,-6.11E-09,-46.3637123,2.34E-09,-46.3380681,-4.00E-09,-4.00E-09,0.999262544,0.999815551
2.40E-02,-42.5471523,-6.37E-09,-42.5813438,2.44E-09,-42.5556994,-4.17E-09,-4.17E-09,0.999197031,0.999799155
2.50E-02,-39.2095258,-6.64E-09,-39.2437175,2.54E-09,-39.2180728,-4.34E-09,-4.34E-09,0.999128734,0.999782065
2.60E-02,-36.2495536,-6.91E-09,-36.2837456,2.64E-09,-36.2581006,-4.52E-09,-4.52E-09,0.99905765,0.999764273
2.70E-02,-33.6123369,-7.17E-09,-33.6465292,2.75E-09,-33.6208839,-4.69E-09,-4.69E-09,0.998983779,0.999745783
2.80E-02,-31.2526016,-7.44E-09,-31.2867943,2.85E-09,-31.2611486,-4.87E-09,-4.87E-09,0.99890712,0.999726594
2.90E-02,-29.1327426,-7.70E-09,-29.1669356,2.95E-09,-29.1412896,-5.04E-09,-5.04E-09,0.998827679,0.999706705
